iter	Accuracy	MultiClass
663	0.5852259758	1.771804249
664	0.5852545081	1.77160664
665	0.5853115727	1.77148705
666	0.585340105	1.771228699
667	0.5853971696	1.770804058
668	0.5854257019	1.770534673
669	0.5853971696	1.770381089
670	0.5854542342	1.770230068
671	0.5853971696	1.769815013
672	0.5854542342	1.769654964
673	0.5855112988	1.76913659
674	0.5855112988	1.768890388
675	0.5854827665	1.7685587
676	0.5855683634	1.768298677
677	0.5857680895	1.767837479
678	0.5858822187	1.767452627
679	0.5860248802	1.766936148
680	0.5861390094	1.766728397
681	0.5861390094	1.766385676
682	0.5862246063	1.76612621
683	0.5862816709	1.765844565
684	0.5863102031	1.765584876
685	0.5863672677	1.765328754
686	0.5863958	1.764910244
687	0.5864813969	1.764637292
688	0.5865099292	1.76446699
689	0.5865955261	1.764284539
690	0.5866240584	1.763876505
691	0.586681123	1.76365772
692	0.5868523168	1.763368942
693	0.5868808491	1.76296492
694	0.5869093814	1.762726854
695	0.5868808491	1.762509184
696	0.5869379137	1.762224418
697	0.5870235106	1.76212266
698	0.5870520429	1.761882811
699	0.5870805752	1.761623679
700	0.5871661721	1.761361205
701	0.5871947044	1.761147881
702	0.5872232367	1.760893542
703	0.587251769	1.760810509
704	0.5872803013	1.760652132
705	0.5873373659	1.760244098
706	0.5874229628	1.759993549
707	0.5873088336	1.759552636
708	0.5873373659	1.759183276
709	0.5872803013	1.758907093
710	0.5873088336	1.758590897
711	0.587251769	1.758432855
712	0.5873373659	1.758232571
713	0.5873658982	1.75806004
714	0.5874800274	1.757647993
715	0.5874514951	1.757319092
716	0.5874514951	1.757204517
717	0.5873944305	1.756786006
718	0.5873944305	1.756563432
719	0.5874514951	1.756130543
720	0.5874514951	1.755892143
721	0.5874229628	1.755651513
722	0.5875656243	1.755419131
723	0.587537092	1.75517003
724	0.5875656243	1.755005412
725	0.5876512212	1.754734801
726	0.587822415	1.75404267
727	0.5879080119	1.753732604
728	0.5878794796	1.753440037
729	0.5879936088	1.75315215
730	0.5880221411	1.752985526
731	0.5879936088	1.752787472
732	0.5880792057	1.752406967
733	0.5880792057	1.752231872
734	0.588107738	1.7520424
735	0.5881648026	1.751823281
736	0.5881648026	1.751281279
737	0.5881933349	1.751077986
738	0.5881933349	1.750848056
739	0.5881648026	1.750670843
740	0.588307464	1.750366908
741	0.5882789318	1.750021956
742	0.5885071901	1.749798379
743	0.5885071901	1.749628969
744	0.5884501255	1.749429577
745	0.5885357224	1.749099895
746	0.5885071901	1.748883005
747	0.5886213193	1.748652629
748	0.5885642547	1.748306229
749	0.5886783839	1.748073735
750	0.5887354485	1.747896746
751	0.5888210454	1.747706828
752	0.58887811	1.74751613
753	0.5889066423	1.747262237
754	0.5889922392	1.746819763
755	0.5889922392	1.746565202
756	0.5889922392	1.74641407
757	0.589163433	1.746062989
758	0.5892775622	1.745736762
759	0.5893631591	1.745235775
760	0.5893916914	1.744985003
761	0.5894202237	1.744619767
762	0.5897626113	1.744376016
763	0.5897626113	1.744119114
764	0.5897911436	1.743806374
765	0.5899052728	1.743504667
766	0.5899623374	1.743356767
767	0.5899908697	1.743218341
768	0.5900479343	1.743015605
769	0.5901049989	1.742768177
770	0.5901049989	1.742461232
771	0.5901049989	1.742200986
772	0.590019402	1.742006275
773	0.5901049989	1.741750599
774	0.5902191281	1.74150696
775	0.5902191281	1.741340002
776	0.5903047249	1.740916475
777	0.5903047249	1.740602286
778	0.5903047249	1.740370684
779	0.5902761927	1.740079788
780	0.5901905958	1.739792905
781	0.5901620635	1.739567767
782	0.5903617895	1.739188376
783	0.5903617895	1.739016625
784	0.5904473864	1.738680925
785	0.5905329833	1.738370859
786	0.5907041771	1.738107827
